Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,79T,41T,46T,72T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,80T
2018_01_11,22.0,28.833333333333332,28.833333333333332,25.0,29.0,28.833333333333332,35.0,44.0,18,28.833333333333332,35.0,32.5,32.5,30.0,50.0,50.0,32.266666666666666,32.266666666666666,33.0,33.0,35.0,26.0,32.26666666666666,27.0,27.0,16.0,16.0,16.0,25.0,25.0,25.0,22.0,31.0,37.0,30.0,28.0,28.0,28.0,28.0,25.333333333333332,25.333333333333332,25.33333333333333,11.0,11.0,25.333333333333332,25.333333333333332,25.333333333333332,27.0,9.666666666666666,6.0,8.0,15,8.0
2018_01_12,26.0,32.666666666666664,32.666666666666664,34.0,33.0,32.666666666666664,37.0,50.0,16,32.666666666666664,39.0,35.0,35.0,31.0,58.0,58.0,35.93333333333333,35.93333333333333,27.0,27.0,50.0,32.0,35.93333333333333,27.0,27.0,18.0,18.0,18.0,26.0,26.0,26.0,22.857142857142858,28.0,21.0,12.0,11.0,11.0,11.0,11.0,16.0,16.0,16.0,18.0,18.0,16.0,16.0,16.0,31.0,14.0,12.0,14.0,16,8.0
2018_01_13,34.0,39.5,39.5,36.0,46.0,39.5,44.0,58.0,19,39.5,50.0,45.5,45.5,41.0,65.0,65.0,43.25,43.25,33.0,33.0,51.0,41.0,43.25,31.0,31.0,27.0,27.0,27.0,35.0,35.0,35.0,33.285714285714285,47.0,25.0,15.0,21.0,21.0,21.0,21.0,21.88888888888889,21.88888888888889,21.88888888888889,23.0,23.0,21.888888888888886,21.88888888888889,21.88888888888889,27.0,17.333333333333332,19.0,12.0,21,14.0
2018_01_14,41.0,42.333333333333336,42.333333333333336,38.0,48.0,42.333333333333336,45.0,62.0,20,42.333333333333336,52.0,54.0,54.0,56.0,61.0,61.0,47.06666666666667,47.06666666666667,42.0,42.0,51.0,45.0,47.06666666666667,24.0,24.0,35.0,35.0,35.0,43.0,43.0,43.0,38.714285714285715,37.0,33.0,25.0,27.0,27.0,27.0,27.0,27.444444444444443,27.444444444444446,27.444444444444446,23.0,23.0,27.444444444444446,27.44444444444445,27.44444444444445,35.0,18.333333333333332,17.0,13.0,25,19.0
2018_01_15,43.0,50.166666666666664,50.166666666666664,52.0,54.0,50.166666666666664,55.0,72.0,25,50.166666666666664,63.0,56.5,56.5,50.0,80.0,80.0,53.23333333333333,53.233333333333334,43.0,43.0,46.0,45.0,53.23333333333334,30.0,30.0,35.0,35.0,35.0,40.0,40.0,40.0,37.142857142857146,35.0,36.0,34.0,26.0,26.0,26.0,26.0,31.11111111111111,31.111111111111107,31.11111111111111,26.0,26.0,31.11111111111111,31.111111111111107,31.111111111111107,54.0,19.0,15.0,17.0,25,17.0
2018_01_16,58.0,58.666666666666664,58.666666666666664,55.0,64.0,58.666666666666664,67.0,77.0,31,58.666666666666664,76.0,73.0,73.0,70.0,93.0,93.0,64.83333333333333,64.83333333333333,60.0,60.0,61.0,51.0,64.83333333333331,42.0,42.0,35.0,35.0,35.0,57.0,57.0,57.0,47.714285714285715,58.0,40.0,36.0,32.0,32.0,32.0,32.0,33.888888888888886,33.88888888888889,33.888888888888886,24.0,24.0,33.888888888888886,33.888888888888886,33.88888888888889,53.0,17.333333333333332,13.0,17.0,22,14.0
2018_01_17,99.0,79.16666666666667,79.16666666666667,69.0,81.0,79.16666666666667,87.0,99.0,40,79.16666666666667,106.0,105.5,105.5,105.0,114.0,114.0,86.73333333333333,86.73333333333333,80.0,80.0,73.0,60.0,86.73333333333333,47.0,47.0,64.0,64.0,64.0,96.0,96.0,96.0,77.28571428571429,61.0,40.0,33.0,27.0,27.0,27.0,27.0,30.444444444444443,30.444444444444446,30.444444444444446,23.0,23.0,30.444444444444443,30.444444444444443,30.444444444444446,47.0,17.0,14.0,13.0,24,12.0
2018_01_18,50.0,54.5,54.5,54.0,61.0,54.5,59.0,73.0,30,54.5,63.0,66.5,66.5,70.0,105.0,105.0,64.65,64.65,69.0,69.0,73.0,61.0,64.65,35.0,35.0,75.0,75.0,75.0,67.0,67.0,67.0,67.85714285714286,49.0,35.0,29.0,34.0,34.0,34.0,34.0,32.55555555555556,32.55555555555556,32.55555555555555,24.0,24.0,32.55555555555555,32.55555555555555,32.55555555555555,45.0,19.0,16.0,16.0,25,20.0
2018_01_19,53.0,55.666666666666664,55.666666666666664,57.0,58.0,55.666666666666664,59.0,76.0,31,55.666666666666664,70.0,65.0,65.0,60.0,105.0,105.0,64.03333333333333,64.03333333333333,64.0,64.0,69.0,57.0,64.03333333333332,33.0,33.0,49.0,49.0,49.0,41.0,41.0,41.0,45.0,45.0,33.0,27.0,32.0,32.0,32.0,32.0,30.88888888888889,30.888888888888893,30.88888888888889,22.0,22.0,30.88888888888889,30.888888888888893,30.888888888888893,46.0,16.0,13.0,16.0,19,18.0
2018_01_20,42.0,47.333333333333336,47.333333333333336,45.0,55.0,47.333333333333336,51.0,65.0,26,47.333333333333336,56.0,56.0,56.0,56.0,83.0,83.0,54.716666666666676,54.716666666666676,53.0,53.0,67.0,58.0,54.71666666666667,31.0,31.0,37.0,37.0,37.0,46.0,46.0,46.0,41.42857142857143,41.0,37.0,32.0,32.0,32.0,32.0,32.0,32.55555555555556,32.55555555555556,32.55555555555555,17.0,17.0,32.55555555555555,32.55555555555555,32.55555555555555,62.0,10.666666666666666,12.0,6.0,14,10.0
2018_01_21,63.0,64.33333333333333,64.33333333333333,62.0,69.0,64.33333333333333,72.0,87.0,33,64.33333333333333,82.0,80.5,80.5,79.0,108.0,108.0,71.81666666666666,71.81666666666666,66.0,66.0,66.0,57.0,71.81666666666666,39.0,39.0,61.0,61.0,61.0,78.0,78.0,78.0,66.42857142857143,48.0,41.0,34.0,34.0,34.0,34.0,34.0,35.333333333333336,35.333333333333336,35.333333333333336,25.0,25.0,35.333333333333336,35.33333333333333,35.33333333333333,57.0,14.333333333333334,10.0,15.0,18,9.0
2018_01_22,66.0,76.33333333333333,76.33333333333333,97.0,75.0,76.33333333333333,77.0,105.0,38,76.33333333333333,92.0,83.0,83.0,74.0,111.0,111.0,79.31666666666666,79.31666666666666,69.0,69.0,65.0,66.0,79.31666666666666,30.0,30.0,52.0,52.0,52.0,83.0,83.0,83.0,64.57142857142857,47.0,33.0,23.0,30.0,30.0,30.0,30.0,31.333333333333332,31.333333333333332,31.33333333333333,25.0,25.0,31.333333333333332,31.333333333333332,31.333333333333332,56.0,11.0,9.0,8.0,16,9.0
2018_01_23,49.0,56.5,56.5,66.0,55.0,56.5,61.0,78.0,30,56.5,65.0,58.0,58.0,51.0,81.0,81.0,59.3,59.3,62.0,62.0,37.0,66.0,59.3,35.0,35.0,30.0,30.0,30.0,58.0,58.0,58.0,44.285714285714285,46.0,32.0,26.0,33.0,33.0,33.0,33.0,31.444444444444443,31.444444444444446,31.444444444444446,19.0,19.0,31.444444444444443,31.444444444444443,31.444444444444446,55.0,11.666666666666666,10.0,9.0,16,11.0
2018_01_24,44.0,52.666666666666664,52.666666666666664,34.0,58.0,52.666666666666664,61.0,72.0,47,52.666666666666664,60.0,62.5,62.5,65.0,74.0,74.0,60.283333333333324,60.283333333333324,69.0,69.0,64.0,79.0,60.28333333333333,38.0,38.0,30.0,30.0,30.0,52.0,52.0,52.0,42.142857142857146,49.0,24.0,18.0,32.0,32.0,32.0,32.0,28.666666666666668,28.666666666666668,28.66666666666667,20.0,20.0,28.666666666666668,28.666666666666668,28.666666666666668,48.0,13.666666666666666,9.0,14.0,18,9.0
2018_01_25,19.0,32.5,32.5,45.0,27.0,32.5,34.0,35.0,35,32.5,31.0,31.5,31.5,32.0,25.0,25.0,37.95,37.95,66.0,66.0,53.0,73.0,37.95,47.0,47.0,12.0,12.0,12.0,35.0,35.0,35.0,27.571428571428573,52.0,27.0,19.0,34.0,34.0,34.0,34.0,30.88888888888889,30.888888888888893,30.88888888888889,22.0,22.0,30.88888888888889,30.888888888888893,30.888888888888893,52.0,14.666666666666666,11.0,14.0,19,9.0
2018_01_26,9.0,18.333333333333332,18.333333333333332,17.0,16.0,18.333333333333332,22.0,24.0,22,18.333333333333332,18.0,18.0,18.0,18.0,13.0,13.0,23.116666666666667,23.116666666666667,60.0,60.0,22.0,39.0,23.11666666666667,39.0,39.0,13.0,13.0,13.0,24.0,24.0,24.0,21.428571428571427,39.0,26.0,19.0,53.0,53.0,53.0,53.0,39.888888888888886,39.88888888888889,39.888888888888886,29.0,29.0,39.888888888888886,39.888888888888886,39.88888888888889,44.0,16.666666666666668,11.0,18.0,21,11.0
2018_01_27,8.0,16.166666666666668,16.166666666666668,17.0,12.0,16.166666666666668,19.0,21.0,20,16.166666666666668,18.0,20.5,20.5,23.0,12.0,12.0,19.033333333333335,19.033333333333335,35.0,35.0,17.0,26.0,19.033333333333335,25.0,25.0,11.0,11.0,11.0,24.0,24.0,24.0,19.714285714285715,33.0,30.0,26.0,38.0,38.0,38.0,38.0,34.333333333333336,34.333333333333336,34.333333333333336,30.0,30.0,34.333333333333336,34.33333333333333,34.33333333333333,41.0,14.0,8.0,13.0,21,11.0
2018_01_28,7.0,15.5,15.5,13.0,13.0,15.5,19.0,23.0,18,15.5,18.0,17.5,17.5,17.0,12.0,12.0,18.75,18.75,39.0,39.0,20.0,28.0,18.75,35.0,35.0,10.0,10.0,10.0,23.0,23.0,23.0,18.714285714285715,32.0,29.0,24.0,38.0,38.0,38.0,38.0,32.44444444444444,32.44444444444444,32.44444444444445,19.0,19.0,32.44444444444445,32.44444444444445,32.44444444444445,49.0,16.0,11.0,16.0,21,9.0
2018_01_29,7.0,17.166666666666668,17.166666666666668,19.0,14.0,17.166666666666668,20.0,24.0,19,17.166666666666668,22.0,20.5,20.5,19.0,14.0,14.0,20.733333333333334,20.733333333333334,42.0,42.0,22.0,27.0,20.733333333333334,50.0,50.0,11.0,11.0,11.0,23.0,23.0,23.0,19.285714285714285,33.0,32.0,25.0,24.0,24.0,24.0,24.0,25.666666666666668,25.666666666666668,25.66666666666667,16.0,16.0,25.666666666666668,25.666666666666668,25.666666666666668,46.0,15.666666666666666,11.0,16.0,20,12.0
2018_01_30,8.0,17.333333333333332,17.333333333333332,16.0,16.0,17.333333333333332,21.0,24.0,19,17.333333333333332,19.0,20.0,20.0,21.0,14.0,14.0,21.266666666666666,21.266666666666666,48.0,48.0,21.0,27.0,21.266666666666666,25.0,25.0,10.0,10.0,10.0,23.0,23.0,23.0,18.428571428571427,30.0,29.0,21.0,25.0,25.0,25.0,25.0,25.444444444444443,25.444444444444446,25.444444444444446,16.0,16.0,25.444444444444446,25.44444444444445,25.44444444444445,47.0,16.333333333333332,11.0,19.0,19,13.0
2018_01_31,10.0,23.666666666666668,23.666666666666668,46.0,19.0,23.666666666666668,21.0,24.0,22,23.666666666666668,23.0,22.5,22.5,22.0,13.0,13.0,24.283333333333335,24.283333333333335,44.0,44.0,20.0,25.0,24.283333333333335,33.0,33.0,10.0,10.0,10.0,21.0,21.0,21.0,17.285714285714285,28.0,32.0,30.0,38.0,38.0,38.0,38.0,35.111111111111114,35.11111111111111,35.111111111111114,21.0,21.0,35.111111111111114,35.111111111111114,35.11111111111111,60.0,14.333333333333334,7.0,18.0,18,13.0
2018_02_01,23.0,34.0,34.0,40.0,33.0,34.0,35.0,43.0,30,34.0,36.0,36.0,36.0,36.0,23.0,23.0,32.1,32.1,34.0,34.0,17.0,27.0,32.1,39.0,39.0,16.0,16.0,16.0,31.0,31.0,31.0,24.857142857142858,33.0,35.0,26.0,36.0,36.0,36.0,36.0,32.888888888888886,32.88888888888889,32.888888888888886,16.0,16.0,32.888888888888886,32.888888888888886,32.88888888888889,59.0,13.333333333333334,7.0,14.0,19,10.0
2018_02_02,41.0,50.166666666666664,50.166666666666664,48.0,54.0,50.166666666666664,51.0,60.0,47,50.166666666666664,56.0,53.5,53.5,51.0,59.0,59.0,51.533333333333324,51.533333333333324,53.0,53.0,49.0,42.0,51.53333333333333,47.0,47.0,18.0,18.0,18.0,37.0,37.0,37.0,30.714285714285715,50.0,36.0,32.0,41.0,41.0,41.0,41.0,37.55555555555556,37.55555555555556,37.55555555555555,22.0,22.0,37.55555555555555,37.55555555555555,37.55555555555555,62.0,15.333333333333334,10.0,17.0,19,11.0
2018_02_03,23.0,43.166666666666664,43.166666666666664,16.0,53.0,43.166666666666664,52.0,64.0,51,43.166666666666664,61.0,56.5,56.5,52.0,69.0,69.0,48.63333333333333,48.63333333333333,42.0,42.0,50.0,43.0,48.63333333333333,52.16291886655248,52.324334544996816,33.0,33.0,33.0,45.0,45.0,45.0,40.0,46.0,57.0,50.0,52.0,52.0,52.0,52.0,49.77777777777778,49.77777777777778,49.77777777777778,32.0,32.0,49.77777777777777,49.77777777777778,49.77777777777778,69.0,16.333333333333332,11.0,17.0,21,11.0
2018_02_04,43.0,54.666666666666664,54.666666666666664,28.0,65.0,54.666666666666664,59.0,74.0,59,54.666666666666664,71.0,65.5,65.5,60.0,84.0,84.0,60.08333333333333,60.083333333333336,47.0,47.0,72.0,59.0,60.08333333333333,39.0,39.0,45.0,45.0,45.0,56.0,56.0,56.0,51.42857142857143,57.0,59.0,51.0,57.0,57.0,57.0,57.0,53.44444444444444,53.44444444444444,53.44444444444445,35.0,35.0,53.44444444444445,53.44444444444445,53.44444444444445,73.0,17.666666666666668,12.0,19.0,22,15.0
2018_02_05,56.0,61.333333333333336,61.333333333333336,45.0,67.0,61.333333333333336,62.0,79.0,59,61.333333333333336,75.0,70.0,70.0,65.0,104.0,104.0,67.56666666666668,67.56666666666668,48.0,48.0,88.0,66.0,67.56666666666666,53.0,53.0,50.0,50.0,50.0,61.0,61.0,61.0,56.42857142857143,62.0,64.0,54.0,60.0,60.0,60.0,60.0,57.333333333333336,57.333333333333336,57.33333333333334,39.0,39.0,57.333333333333336,57.333333333333336,57.333333333333336,80.0,18.333333333333332,13.0,20.0,22,16.0
2018_02_06,70.0,57.166666666666664,57.166666666666664,52.0,58.0,57.166666666666664,51.0,61.0,51,57.166666666666664,66.0,62.5,62.5,59.0,90.0,90.0,63.633333333333326,63.63333333333333,57.0,57.0,88.0,69.0,63.63333333333333,52.0,52.0,47.0,47.0,47.0,54.0,54.0,54.0,51.714285714285715,59.0,74.0,65.0,66.0,66.0,66.0,66.0,62.111111111111114,62.11111111111111,62.11111111111111,41.0,41.0,62.11111111111111,62.1111111111111,62.1111111111111,74.0,21.333333333333332,16.0,23.0,25,18.0
2018_02_07,51.0,73.83333333333333,73.83333333333333,42.0,90.0,73.83333333333333,86.0,95.0,79,73.83333333333333,96.0,91.0,91.0,86.0,115.0,115.0,83.41666666666666,83.41666666666667,81.0,81.0,89.0,85.0,83.41666666666669,65.0,65.0,47.0,47.0,47.0,73.0,73.0,73.0,62.57142857142857,78.0,63.0,57.0,64.0,64.0,64.0,64.0,57.0,57.0,57.0,44.0,44.0,57.0,57.0,57.0,49.0,23.333333333333332,17.0,23.0,30,19.0
2018_02_08,62.0,70.0,70.0,31.0,90.0,70.0,76.0,80.0,81,70.0,83.0,82.5,82.5,82.0,61.0,61.0,74.5,74.5,94.0,94.0,69.0,81.0,74.5,76.0,76.0,49.0,49.0,49.0,72.0,72.0,72.0,63.57142857142857,82.0,58.0,51.0,67.0,67.0,67.0,67.0,58.22222222222222,58.222222222222214,58.22222222222222,46.0,46.0,58.22222222222222,58.222222222222214,58.222222222222214,55.0,28.333333333333332,23.0,29.0,33,20.0
2018_02_09,47.0,48.5,48.5,41.0,50.0,48.5,48.0,55.0,50,48.5,49.0,49.0,49.0,49.0,39.0,39.0,50.6,50.599999999999994,70.0,70.0,53.0,60.0,50.6,82.0,82.0,38.0,38.0,38.0,58.0,58.0,58.0,52.857142857142854,82.0,53.0,47.0,75.0,75.0,75.0,75.0,61.666666666666664,61.666666666666664,61.66666666666666,51.0,51.0,61.66666666666666,61.66666666666666,61.66666666666665,53.0,39.333333333333336,31.0,42.0,45,34.0
2018_02_10,50.0,46.833333333333336,46.833333333333336,43.0,48.0,46.833333333333336,43.0,50.0,47,46.833333333333336,45.0,45.0,45.0,45.0,36.0,36.0,47.11666666666667,47.11666666666667,65.0,65.0,42.0,50.0,47.11666666666667,92.0,92.0,32.0,32.0,32.0,48.0,48.0,48.0,45.285714285714285,77.0,48.0,39.0,59.0,59.0,59.0,59.0,52.0,52.0,52.0,41.0,41.0,52.0,52.0,52.0,63.0,33.333333333333336,25.0,33.0,42,28.0
2018_02_11,54.0,48.166666666666664,48.166666666666664,42.0,48.0,48.166666666666664,44.0,53.0,48,48.166666666666664,45.0,44.0,44.0,43.0,38.0,38.0,51.533333333333324,51.533333333333324,87.0,87.0,55.0,68.0,51.53333333333333,61.0,61.0,28.0,28.0,28.0,46.0,46.0,46.0,42.57142857142857,76.0,47.0,42.0,54.0,54.0,54.0,54.0,48.111111111111114,48.11111111111111,48.11111111111111,34.0,34.0,48.11111111111111,48.1111111111111,48.1111111111111,60.0,37.0,30.0,38.0,43,33.0
2018_02_12,45.0,51.666666666666664,51.666666666666664,38.0,56.0,51.666666666666664,55.0,64.0,52,51.666666666666664,62.0,59.5,59.5,57.0,51.0,51.0,54.73333333333333,54.733333333333334,51.0,51.0,61.0,75.0,54.73333333333333,26.0,26.0,28.0,28.0,28.0,53.0,53.0,53.0,44.285714285714285,67.0,59.0,54.0,62.0,62.0,62.0,62.0,56.22222222222222,56.222222222222214,56.22222222222222,38.0,38.0,56.22222222222222,56.222222222222214,56.222222222222214,69.0,25.666666666666668,19.0,27.0,31,26.0
2018_02_13,56.0,51.666666666666664,51.666666666666664,48.0,52.0,51.666666666666664,46.0,60.0,48,51.666666666666664,60.0,56.5,56.5,53.0,67.0,67.0,54.43333333333332,54.43333333333333,42.0,42.0,71.0,57.0,54.43333333333333,31.0,31.0,37.0,37.0,37.0,46.0,46.0,46.0,41.42857142857143,41.0,70.0,65.0,45.0,45.0,45.0,45.0,48.44444444444444,48.44444444444444,48.44444444444445,30.0,30.0,48.44444444444445,48.44444444444445,48.44444444444445,61.0,18.666666666666668,13.0,21.0,22,12.0
2018_02_14,73.0,73.66666666666667,73.66666666666667,59.0,74.0,73.66666666666667,72.0,94.0,70,73.66666666666667,80.0,72.0,72.0,64.0,99.0,99.0,74.23333333333333,74.23333333333333,65.0,65.0,68.0,64.0,74.23333333333333,53.0,53.0,38.0,38.0,38.0,56.0,56.0,56.0,49.0,61.0,67.0,64.0,49.0,49.0,49.0,49.0,51.44444444444444,51.44444444444444,51.44444444444445,35.0,35.0,51.44444444444445,51.44444444444445,51.44444444444445,66.0,18.666666666666668,16.0,17.0,23,17.0
2018_02_15,57.0,59.5,59.5,53.0,59.0,59.5,60.0,68.0,60,59.5,62.0,59.5,59.5,57.0,64.0,64.0,63.0,63.0,80.0,80.0,64.0,75.0,63.0,70.0,70.0,38.0,38.0,38.0,61.0,61.0,61.0,52.714285714285715,72.0,54.0,49.0,57.0,57.0,57.0,57.0,53.22222222222222,53.222222222222214,53.22222222222222,38.0,38.0,53.22222222222223,53.22222222222222,53.22222222222222,72.0,21.333333333333332,19.0,20.0,25,20.0
2018_02_16,47.0,49.0,49.0,51.0,45.0,49.0,48.0,54.0,49,49.0,44.0,44.0,44.0,44.0,46.0,46.0,51.0,51.0,76.0,76.0,54.0,56.0,51.0,75.0,75.0,27.0,27.0,27.0,50.0,50.0,50.0,43.142857142857146,71.0,37.0,34.0,44.0,44.0,44.0,44.0,40.0,40.0,40.0,25.0,25.0,40.0,40.0,40.0,63.0,26.0,25.0,24.0,29,28.0
2018_02_17,44.0,46.166666666666664,46.166666666666664,47.0,43.0,46.166666666666664,47.0,51.0,45,46.166666666666664,43.0,46.0,46.0,49.0,43.0,43.0,48.53333333333333,48.53333333333333,68.0,68.0,49.0,54.0,48.53333333333333,70.0,70.0,25.0,25.0,25.0,50.0,50.0,50.0,41.42857142857143,65.0,41.0,37.0,43.0,43.0,43.0,43.0,40.0,40.0,40.0,24.0,24.0,40.0,40.0,40.0,62.0,29.666666666666668,29.0,27.0,33,31.0
2018_02_18,39.0,42.333333333333336,42.333333333333336,51.0,37.0,42.333333333333336,41.0,47.0,39,42.333333333333336,40.0,41.5,41.5,43.0,37.0,37.0,42.81666666666667,42.81666666666667,51.0,51.0,41.0,50.0,42.81666666666667,77.0,77.0,27.0,27.0,27.0,46.0,46.0,46.0,39.142857142857146,55.0,46.0,39.0,56.0,56.0,56.0,56.0,51.111111111111114,51.11111111111111,51.11111111111111,34.0,34.0,51.11111111111111,51.1111111111111,51.1111111111111,83.0,33.0,27.0,33.0,39,33.0
2018_02_19,32.0,41.333333333333336,41.333333333333336,70.0,32.0,41.333333333333336,35.0,43.0,36,41.333333333333336,35.0,34.0,34.0,33.0,28.0,28.0,40.86666666666667,40.86666666666667,55.0,55.0,43.0,59.0,40.86666666666667,65.0,65.0,23.0,23.0,23.0,37.0,37.0,37.0,34.0,58.0,53.0,57.0,74.0,74.0,74.0,74.0,65.33333333333333,65.33333333333333,65.33333333333333,44.0,44.0,65.33333333333333,65.33333333333334,65.33333333333334,94.0,19.666666666666668,9.0,23.0,27,14.0
2018_02_20,12.0,21.5,21.5,54.0,11.0,21.5,17.0,20.0,15,21.5,48.0,31.5,31.5,15.0,11.0,11.0,24.55,24.549999999999997,42.0,42.0,15.0,29.0,24.55,58.0,58.0,15.0,15.0,15.0,22.0,22.0,22.0,21.571428571428573,40.0,55.0,59.0,71.0,71.0,71.0,71.0,63.22222222222222,63.222222222222214,63.22222222222222,46.0,46.0,63.22222222222222,63.222222222222214,63.222222222222214,79.0,14.0,7.0,17.0,18,10.0
