,Date,02T,05T,10T,11T,12T,59T
90,04_01,20.0,16,19.0,24,22.0,18
91,04_02,10.0,6,11.0,11,11.0,7
92,04_03,14.0,10,11.0,15,14.0,11
93,04_04,17.0,12,8.0,16,14.0,11
94,04_05,34.0,28,23.0,30,24.0,24
95,04_06,31.0,27,23.0,27,23.0,20
96,04_07,30.0,27,19.0,26,24.0,22
97,04_08,32.0,32,22.0,26,25.0,22
98,04_09,20.0,18,18.0,22,21.0,16
99,04_10,26.0,26,22.0,24,28.0,25
100,04_11,27.0,23,20.0,25,22.0,22
101,04_12,27.0,21,26.0,24,23.0,21
102,04_13,20.0,16,18.0,20,19.0,17
103,04_14,16.0,11,16.0,15,15.0,12
104,04_15,23.0,15,17.0,21,17.0,18
105,04_16,18.0,14,17.0,17,18.0,14
106,04_17,17.0,16,17.0,17,14.0,12
107,04_18,17.0,11,18.0,14,14.0,12
108,04_19,12.0,8,12.0,12,11.0,7
109,04_20,15.0,9,14.0,14,13.0,9
110,04_21,14.0,11,19.0,13,13.0,11
111,04_22,27.0,15,26.0,22,17.0,18
112,04_23,21.0,19,21.0,20,19.0,19
113,04_24,22.0,20,18.0,22,20.0,18
114,04_25,26.0,19,19.0,23,21.0,20
115,04_26,26.0,19,27.0,23,21.0,18
116,04_27,19.0,16,27.0,21,15.0,13
117,04_28,28.0,23,19.0,24,21.0,19
118,04_29,17.0,13,20.0,15,13.0,11
119,04_30,18.0,16,20.0,19,15.0,12
120,05_01,17.0,12,21.0,15,13.0,12
121,05_02,21.0,21,15.0,16,20.0,22
122,05_03,25.0,20,14.0,18,20.0,17
123,05_04,24.0,23,21.0,18,24.0,22
124,05_05,28.0,25,25.0,20,21.0,23
125,05_06,19.0,18,16.0,17,15.0,16
126,05_07,15.0,13,13.0,12,11.0,12
127,05_08,25.0,24,21.0,19,19.0,18
128,05_09,19.0,18,20.5,17,15.0,14
129,05_10,19.0,13,14.0,13,13.0,16
130,05_11,15.0,12,15.0,12,12.0,13
131,05_12,14.0,8,14.0,12,12.0,10
132,05_13,11.0,7,14.0,10,10.0,7
133,05_14,13.0,7,11.0,9,11.0,9
134,05_15,13.0,8,12.0,10,12.0,10
135,05_16,10.0,6,13.0,9,8.0,8
136,05_17,15.0,10,13.0,10,12.0,10
137,05_18,10.0,5,12.0,9,8.0,8
138,05_19,14.0,11,10.0,11,11.0,10
139,05_20,12.0,8,11.0,13,11.0,10
140,05_21,10.0,6,11.0,9,8.0,7
141,05_22,12.0,8,11.0,9,8.0,8
142,05_23,11.0,8,9.0,9,9.0,7
143,05_24,12.0,8,11.0,10,8.0,8
144,05_25,14.0,8,12.0,10,9.0,8
145,05_26,16.0,13,14.0,13,21.0,11
146,05_27,18.0,13,17.0,15,13.0,14
147,05_28,13.0,9,12.0,9,11.0,8
148,05_29,9.0,7,9.0,9,9.0,6
149,05_30,7.0,4,11.0,7,6.0,4
150,05_31,11.0,9,9.0,11,10.0,8
151,06_01,12.0,11,14.0,11,14.0,10
152,06_02,13.0,11,13.0,12,16.0,11
153,06_03,12.0,10,13.0,11,14.0,9
154,06_04,12.0,10,12.0,11,15.0,10
155,06_05,11.0,10,13.0,11,15.0,9
156,06_06,11.0,10,11.0,10,12.0,8
157,06_07,10.0,7,11.0,8,10.0,6
158,06_08,12.0,7,8.0,9,12.0,7
159,06_09,10.0,6,8.0,8,12.0,6
160,06_10,12.0,7,10.0,9,11.0,8
161,06_11,16.0,12,12.0,10,15.0,10
162,06_12,19.0,16,14.0,15,16.0,13
163,06_13,18.0,12,11.0,16,18.0,12
164,06_14,10.0,9,11.0,12,16.0,8
165,06_15,11.0,9,8.0,10,14.0,7
166,06_16,8.0,5,7.0,7,12.0,5
167,06_17,11.0,11,9.0,10,14.0,9
168,06_18,13.0,9,9.0,11,14.0,8
169,06_19,11.0,9,8.0,8,11.0,8
170,06_20,13.0,10,13.0,11,14.0,10
171,06_21,19.0,17,21.0,18,20.0,17
172,06_22,27.0,22,24.0,24,26.0,20
173,06_23,18.0,16,15.0,19,20.0,15
174,06_24,11.0,10,11.0,11,13.0,8
175,06_25,16.0,15,14.0,16,17.0,14
176,06_26,13.0,11,12.0,11,12.0,10
177,06_27,9.0,6,11.0,9,8.0,8
178,06_28,12.0,9,11.0,12,10.0,8
179,06_30,18.0,15,15.0,13,11.0,12
180,06_30,18.0,15,15.0,13,11.0,12
181,07_01,10.0,8,7.0,10,11.0,8
182,07_02,17.0,11,10.0,14,11.0,9
183,07_03,9.0,8,13.5,9,8.0,7
184,07_04,10.0,7,15.0,8,8.0,6
185,07_05,9.0,7,8.0,8,8.0,7
186,07_06,12.0,7,7.0,9,8.0,7
187,07_07,10.0,9,9.0,8,9.0,6
188,07_08,10.0,9,9.0,8,8.0,5
189,07_09,10.0,9,10.0,11,13.0,7
190,07_10,10.0,8,9.0,11,10.0,9
191,07_11,8.0,5,5.0,7,9.0,6
192,07_12,9.0,6,6.0,7,9.0,5
193,07_13,16.0,11,11.0,13,12.0,10
194,07_14,20.0,15,15.0,18,17.0,15
195,07_15,16.0,9,9.0,12,12.0,10
196,07_16,16.0,10,9.0,11,9.0,10
197,07_17,15.0,10,7.0,12,12.0,9
198,07_18,11.0,8,8.0,8,7.0,6
199,07_19,8.0,5,6.0,7,6.0,5
200,07_20,8.0,5,6.0,8,6.0,4
201,07_21,9.0,4,7.0,7,8.0,5
202,07_22,16.0,11,11.0,13,10.0,11
203,07_23,14.0,10,9.0,12,10.0,8
204,07_24,15.0,13,13.0,13,11.0,11
205,07_25,11.0,7,8.0,10,8.0,8
206,07_26,14.0,9,11.0,13,10.0,9
207,07_27,9.0,6,7.0,8,8.0,6
208,07_28,10.0,6,7.0,9,7.0,5
209,07_29,12.0,8,10.0,10,10.0,7
210,07_30,15.0,10,10.0,13,12.0,10
211,07_31,18.0,14,11.0,16,14.0,11
212,08_01,14.0,11,10.0,12,10.0,9
213,08_02,15.0,10,8.0,12,10.0,9
214,08_03,11.0,9,9.0,10,8.0,10
215,08_04,14.0,11,10.0,12,10.0,8
216,08_05,15.0,11,10.0,13,11.0,10
217,08_06,12.0,7,10.0,10,8.0,9
218,08_07,12.0,7,9.0,11,10.0,9
219,08_08,15.0,12,12.0,11,11.0,11
220,08_09,15.0,10,11.0,11,11.0,10
221,08_10,10.0,11,9.0,11,11.0,9
222,08_11,11.0,5,7.0,8,7.0,6
223,08_12,11.0,4,6.0,7,7.0,4
224,08_13,9.0,4,7.0,6,7.0,4
225,08_14,14.0,6,10.0,11,10.0,7
226,08_15,11.0,5,7.0,6,7.0,5
227,08_16,10.0,4,7.0,7,7.0,5
228,08_17,17.0,14,11.0,13,12.0,11
229,08_18,14.0,9,9.0,10,12.0,10
230,08_19,14.0,10,11.0,12,12.0,10
231,08_20,18.0,14,13.0,15,15.0,13
232,08_21,13.0,11,11.0,13,11.0,10
233,08_22,14.0,9,11.0,11,11.0,10
234,08_23,13.0,9,9.0,8,8.0,7
235,08_24,11.0,7,6.0,7,8.0,5
236,08_25,14.0,8,11.0,10,11.0,7
237,08_26,10.0,6,8.0,6,6.0,6
238,08_27,15.0,8,8.0,13,11.0,8
239,08_28,12.0,7,7.0,9,9.0,6
240,08_29,10.0,4,5.0,7,7.0,5
241,08_30,12.0,7,11.0,12,10.0,8
242,08_31,12.0,12,11.0,15,12.0,12
243,09_01,19.0,18,12.0,17,18.0,14
244,09_02,14.0,12,10.0,11,13.0,10
245,09_03,11.0,7,7.0,8,8.0,5
246,09_04,13.0,8,8.0,10,8.0,6
247,09_05,16.0,11,11.0,13,12.0,10
248,09_06,16.0,12,13.0,13,12.0,10
249,09_07,18.0,13,11.0,14,12.0,11
250,09_08,13.0,10,8.0,9,8.0,8
251,09_09,13.0,8,9.0,11,11.0,7
252,09_10,10.0,6,6.0,10,9.0,7
253,09_11,15.0,8,12.0,9,9.0,8
254,09_12,14.0,10,9.0,9,9.0,8
255,09_13,13.0,9,8.0,10,9.0,8
256,09_14,15.0,12,12.0,12,12.0,11
257,09_15,13.0,10,8.0,10,12.0,8
258,09_16,10.0,6,7.0,7,8.0,5
259,09_17,12.0,6,11.0,9,10.0,6
260,09_18,15.0,13,13.0,14,15.0,14
261,09_19,14.0,12,11.0,11,11.0,10
262,09_20,16.0,15,10.0,11,11.0,10
263,09_21,12.0,8,8.0,10,9.0,8
264,09_22,10.0,5,6.0,8,7.0,5
265,09_23,12.0,9,9.0,11,10.0,8
266,09_24,12.0,9,10.0,9,9.0,7
267,09_25,14.0,11,9.0,10,10.0,8
268,09_26,12.0,5,7.0,7,8.0,5
269,09_27,15.0,9,10.0,12,13.0,8
270,09_28,21.0,17,15.0,14,13.0,12
271,09_29,42.0,31,26.0,27,28.0,24
272,09_30,22.0,16,18.0,21,20.0,18
273,10_01,13.0,8,13.0,11,13.0,10
274,10_02,15.0,8,11.0,10,13.0,10
275,10_03,19.0,15,17.0,16,15.0,15
276,10_04,24.0,13,14.0,17,15.0,13
277,10_05,26.0,18,17.0,19,17.0,16
278,10_06,15.0,12,11.0,12,12.0,9
279,10_07,21.0,20,15.0,15,15.0,15
280,10_08,38.0,29,20.0,29,28.0,26
281,10_09,13.0,7,9.0,9,10.0,8
282,10_10,14.0,6,9.0,9,10.0,9
283,10_11,11.0,6,10.0,9,10.0,6
284,10_12,12.0,7,8.0,9,9.0,7
285,10_13,12.0,6,7.0,6,6.0,5
286,10_14,15.0,8,8.0,10,9.0,9
287,10_15,14.0,10,10.0,11,11.0,10
288,10_16,14.0,10,9.0,12,13.0,11
289,10_17,11.0,6,6.0,7,7.0,7
290,10_18,13.0,7,8.0,9,9.0,8
291,10_19,21.0,14,14.0,15,17.0,15
292,10_20,28.0,23,21.0,20,19.0,18
293,10_21,33.0,25,22.0,24,26.0,23
294,10_22,22.0,15,14.0,15,17.0,14
295,10_23,17.0,11,10.0,11,11.0,10
296,10_24,16.0,8,11.0,10,11.0,10
297,10_25,19.0,10,12.0,14,14.0,11
298,10_26,22.0,17,17.0,18,19.0,18
299,10_27,26.0,20,19.0,21,19.0,20
300,10_28,28.0,24,22.0,24,23.0,23
301,10_29,21.0,18,17.0,18,18.0,16
302,10_30,28.0,24,22.0,23,20.0,22
303,10_31,18.0,11,13.0,11,11.0,10
304,11_01,20.0,13,12.0,13,15.0,12
305,11_02,21.0,15,17.0,17,17.0,16
306,11_03,20.0,14,14.0,15,16.0,14
307,11_04,27.0,17,17.0,17,21.0,15
308,11_05,25.0,18,17.0,17,21.0,16
309,11_06,31.0,20,23.0,23,22.0,24
310,11_07,28.0,16,14.0,18,20.0,15
311,11_08,21.0,16,18.0,18,18.0,15
312,11_09,17.0,11,13.0,13,14.0,10
313,11_10,22.0,12,20.0,17,16.0,17
314,11_11,26.0,17,23.0,24,22.0,20
315,11_12,27.0,20,23.0,25,25.0,21
316,11_13,26.0,18,22.0,26,23.0,19
317,11_14,28.0,22,25.0,30,27.0,23
318,11_15,30.0,21,25.0,27,27.0,24
319,11_16,23.0,13,17.0,15,18.0,14
320,11_17,15.0,11,13.0,13,14.0,9
321,11_18,18.0,15,16.0,14,18.0,13
322,11_19,30.0,16,17.0,18,20.0,16
323,11_20,31.0,26,19.0,27,22.0,21
324,11_21,26.0,27,24.0,24,24.0,20
325,11_22,31.0,25,19.0,22,25.0,19
326,11_23,17.0,18,12.0,13,17.0,11
327,11_24,17.0,18,16.0,13,15.0,12
328,11_25,26.0,28,23.0,22,22.0,21
329,11_26,29.0,29,23.0,26,25.0,23
330,11_27,27.0,28,21.0,23,22.0,22
331,11_28,32.0,33,26.0,28,24.0,25
332,11_29,27.0,30,22.0,24,23.0,23
333,11_30,28.0,34,25.0,26,26.0,23
334,12_01,35.0,36,28.0,30,29.0,28
335,12_02,35.0,35,26.0,32,29.0,28
336,12_03,35.0,35,28.0,32,29.0,26
337,12_04,33.0,37,24.0,28,30.0,27
338,12_05,37.0,39,28.0,39,29.0,28
339,12_06,39.0,39,28.0,36,30.0,32
340,12_07,48.0,46,31.0,45,35.0,40
341,12_08,46.0,41,32.0,36,35.0,38
342,12_09,33.0,32,24.0,33,26.0,25
343,12_10,34.0,32,22.0,30,25.0,25
344,12_11,36.0,34,25.0,31,28.0,24
345,12_12,29.0,27,22.0,29,20.0,22
346,12_13,28.0,30,21.0,23,23.0,20
347,12_14,42.0,50,33.0,38,34.0,34
348,12_15,46.0,52,39.0,38,39.0,36
349,12_16,51.0,49,39.0,42,41.0,40
350,12_17,40.0,38,32.0,34,30.0,33
351,12_18,29.0,31,21.0,26,30.5,22
352,12_19,28.0,28,21.0,20,23.0,21
353,12_20,47.0,48,35.0,40,36.0,36
354,12_21,60.0,62,50.0,46,52.0,54
355,12_22,68.0,71,54.0,61,58.0,56
356,12_23,68.0,60,49.0,45,51.0,54
357,12_24,56.0,51,34.0,41,43.0,38
358,12_25,23.0,23,17.0,13,24.0,18
359,12_26,26.0,21,18.0,18,19.0,17
360,12_27,36.0,29,23.0,23,27.0,23
361,12_28,19.0,17,15.0,11,17.0,11
362,12_29,19.0,19,13.0,15,16.0,14
363,12_30,23.0,23,18.0,18,18.0,15
364,12_31,23.0,25,18.0,20,19.0,17
